age,education,eddummy1,eddummy2,eddummy3,eddummy4,earnings,d1,hours
40,9,1,0,0,0,22000,1,2340
37,12,0,1,0,0,31468,1,2008
43,16,0,0,0,1,38708,1,3240
32,12,0,1,0,0,40000,1,2200
48,9,1,0,0,0,0,0,0
30,12,0,1,0,0,3265,1,552
45,11,1,0,0,0,18000,1,2286
37,17,0,0,0,1,71750,1,3750
47,11,1,0,0,0,19426,1,2016
38,12,0,1,0,0,4000,1,2288
34,10,1,0,0,0,0,0,0
33,11,1,0,0,0,30000,1,2860
45,13,0,0,1,0,24000,1,2820
30,15,0,0,1,0,14400,1,2290
39,12,0,1,0,0,30000,1,2000
43,12,0,1,0,0,69000,1,2100
38,12,0,1,0,0,50430,1,1838
30,17,0,0,0,1,30000,1,1720
34,12,0,1,0,0,34000,1,2744
33,12,0,1,0,0,22000,1,2304
35,12,0,1,0,0,50300,1,2503
38,12,0,1,0,0,32629,1,2400
39,12,0,1,0,0,25927,1,1974
45,13,0,0,1,0,44000,1,2358
40,12,0,1,0,0,9844,1,1764
44,12,0,1,0,0,3872,1,198
47,17,0,0,0,1,14148,1,2842
30,14,0,0,1,0,30000,1,1968
31,12,0,1,0,0,37000,1,2004
30,12,0,1,0,0,35300,1,1985
38,12,0,1,0,0,32995,1,990
36,8,1,0,0,0,17000,1,2080
31,12,0,1,0,0,0,0,0
32,12,0,1,0,0,20000,1,2096
32,16,0,0,0,1,62000,1,1960
50,12,0,1,0,0,23000,1,2000
34,11,1,0,0,0,24500,1,2460
32,9,1,0,0,0,24000,1,3060
31,12,0,1,0,0,14148,1,2296
30,12,0,1,0,0,25000,1,2508
30,9,1,0,0,0,18000,1,2016
33,12,0,1,0,0,14000,1,1976
42,12,0,1,0,0,2000,1,120
42,16,0,0,0,1,54000,1,2756
43,17,0,0,0,1,28215,1,2450
46,12,0,1,0,0,11403,1,2805
40,,,,,,,,
34,16,0,0,0,1,35000,1,1802
35,12,0,1,0,0,30526,1,2496
32,12,0,1,0,0,26000,1,1960
38,16,0,0,0,1,1854,1,708
35,12,0,1,0,0,45000,1,2064
41,12,0,1,0,0,46041,1,3114
37,11,1,0,0,0,36000,1,3000
33,12,0,1,0,0,36000,1,2000
40,12,0,1,0,0,5000,1,2657
35,11,1,0,0,0,32000,1,3060
33,12,0,1,0,0,42000,1,2304
33,13,0,0,1,0,21000,1,1954
35,17,0,0,0,1,65000,1,2141
31,17,0,0,0,1,67269,1,2550
45,16,0,0,0,1,600,1,854
46,16,0,0,0,1,17950,1,2004
46,12,0,1,0,0,31604,1,2148
49,15,0,0,1,0,40000,1,2144
35,12,0,1,0,0,36000,1,2150
44,17,0,0,0,1,45000,1,1980
46,17,0,0,0,1,27000,1,2600
42,17,0,0,0,1,37500,1,2540
38,14,0,0,1,0,14200,1,1785
37,17,0,0,0,1,36000,1,2816
36,17,0,0,0,1,81800,1,2286
34,17,0,0,0,1,32145,1,2133
33,17,0,0,0,1,38690,1,2580
50,14,0,0,1,0,15000,1,2332
31,13,0,0,1,0,8100,1,1885
43,12,0,1,0,0,29200,1,2150
39,12,0,1,0,0,43900,1,2430
31,12,0,1,0,0,41500,1,1944
30,14,0,0,1,0,38500,1,2092
42,8,1,0,0,0,0,0,0
37,9,1,0,0,0,0,0,0
36,9,1,0,0,0,6028,1,624
33,12,0,1,0,0,16000,1,1850
32,16,0,0,0,1,7483,1,748
30,16,0,0,0,1,26500,1,3072
40,17,0,0,0,1,675078,1,2656
35,17,0,0,0,1,40000,1,2340
45,17,0,0,0,1,163000,1,2717
49,12,0,1,0,0,27000,1,2625
45,16,0,0,0,1,60000,1,2880
40,16,0,0,0,1,29716,1,2040
42,16,0,0,0,1,73240,1,2016
39,11,1,0,0,0,8360,1,3450
36,16,0,0,0,1,6050,1,2100
35,12,0,1,0,0,19970,1,2540
38,16,0,0,0,1,30000,1,2027
34,16,0,0,0,1,57516,1,1944
46,17,0,0,0,1,48000,1,2520
49,17,0,0,0,1,11000,1,2581
45,17,0,0,0,1,67000,1,1720
33,16,0,0,0,1,22000,1,2166
35,12,0,1,0,0,30000,1,2000
36,,,,,,,,
41,12,0,1,0,0,23000,1,2571
34,14,0,0,1,0,26000,1,1984
49,16,0,0,0,1,9000,1,463
31,14,0,0,1,0,50000,1,2205
30,12,0,1,0,0,19000,1,2115
45,12,0,1,0,0,18765,1,2530
35,12,0,1,0,0,43000,1,2068
42,17,0,0,0,1,58000,1,2400
38,10,1,0,0,0,29582,1,2340
31,16,0,0,0,1,33000,1,2560
43,15,0,0,1,0,0,0,0
33,12,0,1,0,0,43000,1,1932
43,16,0,0,0,1,24000,1,2220
34,12,0,1,0,0,300,1,50
33,17,0,0,0,1,28800,1,2104
38,17,0,0,0,1,47600,1,1443
32,16,0,0,0,1,65000,1,2635
40,16,0,0,0,1,100000,1,2125
40,16,0,0,0,1,20000,1,3626
38,12,0,1,0,0,40000,1,1880
48,17,0,0,0,1,29060,1,3120
44,9,1,0,0,0,0,0,0
