Pckg,Blue,Brown,Green,Orange,Red,Yellow
1,13,7,12,9,7,8
2,8,3,13,13,10,6
3,8,10,11,10,5,10
4,14,4,6,14,7,9
5,6,8,10,12,8,8
6,7,11,13,7,4,13
7,8,7,13,8,7,9
8,12,10,6,8,8,9
9,6,9,12,14,8,6
10,7,8,12,10,11,7
11,16,10,8,8,9,3
12,14,7,13,10,2,8
13,13,4,9,8,12,6
14,11,6,8,11,9,10
15,12,12,9,8,10,4
16,8,6,10,14,6,9
17,14,8,6,11,6,10
18,12,7,9,15,8,5
19,13,7,5,11,4,14
20,12,8,12,8,8,9
21,7,9,17,12,6,4
22,11,8,9,10,8,8
23,10,4,12,17,7,5
24,11,11,10,10,4,11
25,10,8,13,11,5,6
26,7,8,10,11,12,6
27,6,5,9,14,12,8
28,8,10,6,10,11,12
29,11,7,8,10,12,8
30,5,9,10,15,7,11
31,8,7,16,9,5,10
32,13,8,7,11,10,5
33,11,8,5,17,8,5
34,7,8,9,11,11,11
35,8,9,9,12,9,9
36,8,12,9,14,6,7
37,15,3,11,14,2,10
38,7,12,12,9,10,5
39,9,5,10,11,10,10
40,13,6,12,11,9,2
41,8,7,9,11,11,9
42,11,8,10,17,4,4
43,8,7,13,13,7,6
44,8,9,9,13,8,6
45,11,9,10,10,8,6
46,9,6,10,10,9,10
47,13,8,11,13,4,6
48,14,8,10,9,8,6
